url,iframe_num,eval_num,location_num,setTimeout_num,setInterval_num,scriptObjectsrc_num,scriptObjectsetAttribute_num,scriptObjectinnerHTML_num,windowopen_num
http://www.espdesign.com.au,0,0,0,0,0,0,0,0,0
http://www.iamagameaddict.com,0,0,0,0,0,0,0,0,0
http://www.kalantzis.net,0,0,0,0,0,0,0,0,0
http://www.slightlyoffcenter.net,0,0,0,0,0,0,0,0,0
http://www.tubemoviez.com,0,0,8,0,0,0,0,0,0
http://www.ipl.hk,0,0,0,0,0,0,0,0,0
http://www.pos-kupang.com/,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.rupor.info,1,1,4,0,0,0,0,0,2
http://www.officeon.ch.ma/office.js?google_ad_format=728x90_as,0,0,3,1,0,0,0,0,1
http://www.sunlux.net/company/about.html,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.outporn.com,0,0,2,0,1,0,0,0,0
http://www.timothycopus.aimoo.com,0,0,1,0,0,0,0,0,0
http://www.orbowlada.strefa.pl/text396.htm,18,0,45,10,0,0,0,0,4
http://www.ruiyangcn.com,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.zkic.com,0,0,0,0,0,0,0,0,0
http://www.cracks.vg/d1.php,0,0,0,0,0,0,0,0,0
http://www.juicypussyclips.com,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.nuptialimages.com,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.bezproudoff.cz,0,0,0,0,0,0,0,0,0
http://www.ceskarepublika.net,0,0,0,0,0,0,0,0,0
http://www.hotspot.cz,0,0,0,0,0,0,0,0,0
http://www.gmcjjh.org/DHL,0,0,0,0,0,0,0,0,0
http://www.nerez-schodiste-zabradli.com,0,0,1,0,0,0,0,0,0
http://www.nordiccountry.cz,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.nowina.info,0,0,1,0,0,0,0,0,0
http://www.obada-konstruktiwa.org,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.otylkaaotesanek.cz,0,0,0,0,0,0,0,0,0
http://www.pb-webdesign.net,2,0,0,0,0,0,0,0,0
http://www.pension-helene.cz,0,0,0,0,0,0,0,0,0
http://www.podzemi.myotis.info,0,0,0,0,0,0,0,0,0
http://www.smrcek.com,0,0,0,0,0,0,0,0,0
http://www.spekband.com,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.worldgymperu.com,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.zgsysz.com,2,0,4,1,0,0,0,0,1
http://www.oknarai.ru,0,0,1,0,1,0,0,0,1
http://www.realinnovation.com/css/menu.js,0,0,4,0,0,0,0,0,0
http://www.hardcorepornparty.com,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.zous.szm.sk,0,0,2,0,0,0,0,0,0
http://www.noveslovo.com,0,0,2,0,0,0,0,0,0
http://www.dimsnetwork.com,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.luckyblank.info,0,0,1,0,0,0,0,0,1
http://www.luckyclean.info,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.luckyclear.info,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.luckyeffect.info,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.luckyhalo.info,2,0,1,0,0,0,0,0,0
http://www.luckypure.info,0,0,1,0,0,0,0,0,1
http://www.luckyshine.info,0,0,0,0,0,0,0,0,0
http://www.luckysuccess.info,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://www.luckysure.info,-1,-1,-1,-1,-1,-1,-1,-1,-1
